,timestamp,source,expanded_urls,rating_numerator,name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorites_counts,retweet_count,Type,breed
1,2017-8-1,Twitter for iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,33819,6514,,chihuahua
2,2017-7-31,Twitter for iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,25461,4328,,chihuahua
3,2017-7-30,Twitter for iPhone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper towel,0.1702779999999999,False,labrador retriever,0.1680859999999999,True,spatula,0.0408359,False,42908,8964,,labrador retriever
4,2017-7-29,Twitter for iPhone,https://twitter.com/dog_rates/status/891327558926688256/photo/1,12.0,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,english springer,0.2257699999999999,True,german short-haired pointer,0.175219,True,41048,9774,,basset
5,2017-7-29,Twitter for iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,chesapeake bay retriever,0.425595,True,irish terrier,0.116317,True,indian elephant,0.0769021999999999,False,20562,3261,,chesapeake bay retriever
6,2017-7-28,Twitter for iPhone,https://gofundme.com/ydvmve-surgery-for-jax,13.0,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,appenzeller,0.341703,True,border collie,0.199287,True,ice lolly,0.193548,False,12041,2158,,appenzeller
7,2017-7-28,Twitter for iPhone,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13.0,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,pomeranian,0.566142,True,eskimo dog,0.1784059999999999,True,pembroke,0.0765069,True,56848,16716,,pomeranian
8,2017-7-27,Twitter for iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish terrier,0.4875739999999999,True,irish setter,0.193054,True,chesapeake bay retriever,0.118184,True,28226,4429,,irish terrier
9,2017-7-26,Twitter for iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True,32467,7711,doggo,pembroke
10,2017-7-26,Twitter for iPhone,https://twitter.com/dog_rates/status/890006608113172480/photo/1,13.0,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True,31166,7624,,samoyed
